factor_a,factor_b,ic_a,ic_b,combined_ic,synergy,sample_size,long_short,max_drawdown
朋友合计（企业大股东（大非）+社保+保险）,企业大股东大非（包含国资）,0.004530308177718379,0.005229404482508829,0.004877442522340683,-0.000351961960168146,21036,0.05606177626096591,0.9965692791534096
次日开盘涨跌幅,企业大股东大非（包含国资）,-0.017517070538080055,0.005213124969663663,-0.008875654077161605,-0.026392724615241663,21032,0.01196321540470439,0.9965692791534096
次日开盘涨跌幅,朋友合计（企业大股东（大非）+社保+保险）,-0.017517070538080055,0.004513754051804123,-0.009249670603431676,-0.02676674114151173,21032,0.011732970610025375,0.9965692791534096
企业大股东大非（包含国资）,前10大流通股东持股比例合计,0.005229404482508829,0.002283905235667188,0.00334521634344702,-0.0018841881390618087,21036,0.020528482246636382,0.9965692791534096
朋友合计（企业大股东（大非）+社保+保险）,前10大流通股东持股比例合计,0.004530308177718379,0.002283905235667188,0.002973880944731507,-0.0015564272329868724,21036,0.023409462998467006,0.9965692791534096
十大流通股东大非合计,企业大股东大非（包含国资）,0.001455620912957803,0.005229404482508829,0.002870064496531285,-0.0023593399859775438,21036,0.016374795646554568,0.9965692791534096
流通市值(元),次日开盘涨跌幅,0.041150376596005164,-0.017517070538080055,0.015607629890959079,-0.025542746705046086,21032,0.009625433860731574,0.9965692791534096
朋友合计（企业大股东（大非）+社保+保险）,十大流通股东大非合计,0.004530308177718379,0.001455620912957803,0.0025081585220302362,-0.002022149655688143,21036,0.023782255657260973,0.9965692791534096
十大流通股东大非合计,前10大流通股东持股比例合计,0.001455620912957803,0.002283905235667188,0.0018071278520084841,-0.00047677738365870404,21036,0.06451175106762042,0.9965692791534096
次日开盘涨跌幅,十大流通股东大非合计,-0.017517070538080055,0.0014523336774304983,-0.01224070849870851,-0.029757779036788563,21032,0.012333106226141942,0.9965692791534096
次日开盘涨跌幅,前10大流通股东持股比例合计,-0.017517070538080055,0.002282887186225468,-0.01125489551526465,-0.028771966053344707,21032,0.010890623820084926,0.9965692791534096
流通市值(元),前10大流通股东持股比例合计,0.0411001239867188,0.002283905235667188,0.028140940223031184,-0.012959183763687616,21036,0.011925790419175472,0.9965692791534096
流通市值(元),朋友合计（企业大股东（大非）+社保+保险）,0.0411001239867188,0.004530308177718379,0.030121276177708798,-0.010978847809010001,21036,0.014682665053437361,0.9965692791534096
流通市值(元),企业大股东大非（包含国资）,0.0411001239867188,0.005229404482508829,0.03068831176397796,-0.010411812222740839,21036,0.01526783647059007,0.9965692791534096
流通市值(元),十大流通股东大非合计,0.0411001239867188,0.001455620912957803,0.028302401609442352,-0.012797722377276447,21036,0.012196210960536257,0.9965692791534096
